sentiment,text,user
"positive","RT @pythontrending: d6tflow - Python library for building highly effective data science workflows https://t.co/1UUe9wCl0P","frankwwu"
"neutral","RT @AnsonMcCade: Radical Change Is Coming To Data Science Jobs\n\nvia @ansonmccade https://t.co/VeKYUQETpx #technology #TechNews #DataScience…","SprintbaseB"
"positive","RT @DataScienceLCDS: On 5 March, we organize the symposium 'Fairness and Transparency, towards responsible data science' in collaboration w…","michellevanmin"
"neutral","RT @SAMBa_CDT: Visiting @ndagovMN today in #Ulaanbaatar to talk about developing policy, building on data science. #AirPollution #Health #E…","num_edu"
"positive","So you got a shiny new 3d printer for your classroom.  Now, what do you do with it beyond making plastic trinkets?… https://t.co/ad39D3LN86","ASDS_Science"
"neutral","A Primer on Causality in Data Science https://t.co/XknShzR2Sc","kaz_yos"
"neutral","RT @AnsonMcCade: Radical Change Is Coming To Data Science Jobs\n\nvia @ansonmccade https://t.co/VeKYUQETpx #technology #TechNews #DataScience…","SantchiWeb"
"neutral","RT @AnsonMcCade: Radical Change Is Coming To Data Science Jobs\n\nvia @ansonmccade https://t.co/VeKYUQETpx #technology #TechNews #DataScience…","IAFan3"
"neutral","RT @vCloud_Storage: RT @AnsonMcCade: Radical Change Is Coming To Data Science Jobs\n\nvia @ansonmccade https://t.co/ujlsrW2RWv #technology #T…","SantchiWeb"
"neutral","RT @heidima825: Interview team for current phase of Carolyn @gibbonresearch and my #phdlife data collection. Training #Hainan University un…","CABLabRHUL"
"neutral","RT @AnsonMcCade: Radical Change Is Coming To Data Science Jobs\n\nvia @ansonmccade https://t.co/ujlsrW2RWv… https://t.co/ZWwzsrZtjG","vCloud_Storage"
"neutral","@VladGubernat @zoeharcombe @malcolmken @DrAseemMalhotra So Calman is now in the employ of big pharma? Prof Sir Rory… https://t.co/LQJPNpvkI4","orangebobevil"
"neutral","Something to ponder for professionals and \"professionals\" alike in the field of #datascience and #analytics.\n\nhttps://t.co/HnuhlYQ6Qm","Nephentur"
"positive","Disrupt the status quo through new digital technology, from data science to #NeuralMachineTranslation and sophistic… https://t.co/8xhDufE84I","AMPLEXOR"
"positive","RT @marcusborba: Honored to be ranked in the Data Science: Top 100 Influencers, Brands and Publications, with such great people: @KirkDBorn…","marcusfborba"
"positive","RT @JBiomech: New considerations for collecting biomechanical data using wearable sensors: Number of level runs to define a stable running…","A_S_B_M_B"
